source,date,rating,text,version
Google Play,2025-12-04,5,"Réactif et synthétique, c'est top !",1.4.0
Google Play,2025-12-04,5,les réponses sont adaptées,1.1.23
Google Play,2025-12-04,5,Les réponses me semble pertinentes et en plus c'est un site français,1.5.0
Google Play,2025-12-03,5,excellente application avec une interface simple et efficace que l'on s'approprie facilement.,1.6.1
Google Play,2025-12-03,5,"J'adore cette application 😁, c'est vraiment hyper cool et illimité. mais j'aimerai que l'auteur puisse ajouter une lecture automatique (ça me fier de tout lire 😅), mais ça reste Top 😏",1.5.0
Google Play,2025-12-03,3,"Même si l'IA fonctionne correctement, elle a tout de même pris du retard comparé aux autres modèles. je la trouve moins pertinentes dans ses réponses là où des Gemini 2.5 ou GPT 5 fonctionnent vraiment bien et ont beaucoup plus de fonctionnalités intéressantes disponibles",1.6.1
Google Play,2025-12-03,5,hallucinant !,1.5.0
Google Play,2025-12-03,5,des renseignements et explications toujours très claires . Merci,1.6.1
Google Play,2025-12-03,3,la loupe figée milieu de l'écran est très désagréable et apparemment il est impossible de la supprimer,1.6.1
Google Play,2025-12-03,5,incroyable !!! meilleur que les autres.,1.2.0
Google Play,2025-12-03,5,Appli génial très utile et fonctionnelle. Rien à redire j'en suis très content.,1.5.0
Google Play,2025-12-03,3,"Bonne application, qui comporte toutefois un bug majeur chez moi (Motorola E14, android 14 à jour), c'est que le dernier mot de certaines réponses n'apparait pas. Même chose dans le menu paramètres, où ""se déconnecter"" devient ""se"". La fin de certains mots sont coupées telles que ""organisatio"" ou encore ""abonneme"" !",1.6.1
Google Play,2025-12-03,5,très pratique,1.6.1
App Store,2025-12-03,5,"Super fluide, et je trouve que c’est bien mieux rédigé comparé à ChatGPT, c’est une très bonne alternative qui pour moi est largement supérieur.",1.6.0
App Store,2025-12-03,5,Très facile d’utilisation et très bonne qualité de la réponse. En 1 prompt j’ai compris mon sujet ou il m’avait fallu plusieurs requête Google,1.6.0
App Store,2025-12-02,5,"un instant, j’ai obtenu un tas de renseignements qui vont pouvoir m’aider dans la rédaction de texte et surtout augmenter mes compétences. Merci",1.6.0
App Store,2025-12-02,5,Est ce que mistral veut s’installer sur notre commune on vous accueille,1.6.0
App Store,2025-12-02,5,Je suis toujours épatée de la rapidité et de l’efficacité avec laquelle Le Chat arrive à faire une synthèse des données qu’il trouve ; ça me fait gagner beaucoup de temps dans mes recherches.,1.6.0
App Store,2025-12-02,5,"J’étais un utilisateur très régulier de ChatGPT, que j’utilisais pour des questions d’actualité, de synthèse de fait historique, de voyage… Bref, tout ce qu’on attend d’un assistant personnel moderne.
J’avais été déçu au début de l’appli Le Chat. Mais tout ce que j’avais à lui reprocher initialement a été gommé : l’utilisation d’une mémoire propre, d’une personnalisation extrêmement poussée, qui permet à l’assistant de répondre exactement de la manière que j’attend, l’utilisation des sources que je lui ai demandé d’utiliser, mon contexte personnel qui lui permet de faire des réponses très contextualisées… mon Le Chat ainsi paramétré est bien meilleur que mon ChatGPT, auquel j’ai pourtant donné les mêmes instructions, et qui possèdent la même mémoire. Le Chat est devenu mon assistant de première intention, très performant et surtout bien plus rapide. 
Il manque cependant quelques ameliorations par rapport à son concurrent américain : compréhension d’œuvre d’art dans un musée très mauvaise, traduction de texte d’une photo … il pêche encore sur ces sujets.",1.6.0
App Store,2025-12-02,5,Top !!!! Continuez,1.6.0
Google Play,2025-12-02,5,les réponses sont rapides et assez pertinentes. merci,1.5.0
Google Play,2025-12-02,4,"Depuis la MàJ vers la version 1.6.0 sur Androïd, du 02/12/25, l'application reste bloquée sur l'écran du logo central ! Impossible d'aller plus loin... Vidage du cache et/ou des données ne change rien.",1.6.0
Google Play,2025-12-02,2,Super,1.6.1
Google Play,2025-12-02,5,super application,1.5.0
Google Play,2025-12-02,1,bonne app mais la version 1.6.0 semble buggée. je reste sur le splash screen indéfiniment malgré un redémarrage du téléphone et d'une réinstallation.,1.6.0
Google Play,2025-12-02,5,jamais déçu. si la commande est bien formulée le rendu est plus qu'acceptable,1.5.0
Google Play,2025-12-02,5,parfait,1.5.0
Google Play,2025-12-02,4,"Très bonne. Depuis 6 mois, j'ai adoré j'ai appris beaucoup. les réponses sont pertinentes.",1.6.1
Google Play,2025-12-02,5,"super ! rien à dire de plus, je m'en sers exclusivement et j'en suis toujours très satisfaite !",1.5.0
Google Play,2025-12-02,5,super efficace et super complet en terme de réponse complète,1.5.0
Google Play,2025-12-02,1,Ne fonctionne plus sur tous mes téléphones,1.6.0
Google Play,2025-12-02,5,excellente application j apprécie particulièrement la possibilité et la facilité de consultation des sources.,1.5.0
Google Play,2025-12-02,4,"Horrible ce soir depuis la version d'aujourd'hui, 1.12.2025 - 1.06 Le Chat ne souvre plus ! aucune interaction possible ca me manque bcp",
Google Play,2025-12-02,5,surprenant et tres smart . 👏 👏 👏,1.5.0
Google Play,2025-12-01,5,IA français en plus super,1.3.0
Google Play,2025-12-01,1,ne fonctionne plus depuis la mise a jour du 1/12/2025,1.6.0
App Store,2025-12-01,5,Excellente réponse,1.5.0
Google Play,2025-12-01,4,"Meilleure IA utilisée à ce jour, très peu d'erreurs observées , bonne rédaction, souveraine et éthique, on adore!",1.5.0
Google Play,2025-12-01,5,bravo pour cette IA en français,1.5.0
Google Play,2025-12-01,5,"Bonjour. - J'aimerais pouvoir cliquer directement sur les suggestions de fin de réponse (comme sur la version web), plutôt que de devoir reformuler une nouvelle question sur le mini clavier de mon smartphone. - Une prise en compte simple des feedback utilisateurs / suggestions d'évolution directement dans l'application serait tellement plus pertinente que de passer par ici.",1.5.0
Google Play,2025-12-01,5,l'IA que je préfère,1.5.0
Google Play,2025-12-01,5,Ça va pour l'instant,1.5.0
Google Play,2025-12-01,5,bonne recherche,1.5.0
App Store,2025-12-01,5,"Une très belle innovation française, séduisante et qui rend beaucoup de services au quotidien - même si elle ne remplace pas l’humain elle l’accompagne très efficacement dans ses recherchés rapidement",1.5.0
Google Play,2025-12-01,5,pas mal.,1.5.0
Google Play,2025-12-01,5,"La meilleure IA (française qui plus est !), abonné à la version Pro depuis un moment j'en suis extrêmement satisfait Que ce soit pour une utilisation récréative (inventions d'histoires, de personnages, JDR etc) ou plus sérieuse, Mistral ne déçoit jamais, c'est l'IA la plus polyvalente et facile d'utilisation que j'ai utilisée. Les bugs et défauts de l'App présents dans sa première version ont été corrigés depuis je recommande chaudement",1.6.0
Google Play,2025-12-01,5,"Franchement pas mal. Enfin une IA qui ne finit pas toutes ces interventions avec une question si on lui demande de ne pas le faire ! Pour le reste, je la classe sur le podium des IA ! Top ! Malheureusement, je viens d'avoir une mise à jour (One Ui 8.0 - Android 16) et depuis, l'appli plante à l'ouverture. Impossible de l'utiliser. J'espère pouvoir le faire à nouveau très prochainement. 🙏",1.6.0
Google Play,2025-12-01,1,ne fonctionne plus depuis la dernière mise à jour,1.6.0
Google Play,2025-12-01,2,l'app ne s'ouvre plus depuis la dernière mise à jour. j'ai désinstallé puis réinstallé mais ne démarre toujours pas,1.6.0
App Store,2025-11-30,5,A quand une compatibilité Mac OS ?,1.5.0
App Store,2025-11-30,5,Tellement pratique et facilitant,1.5.0
Google Play,2025-11-30,1,le niveau de précision est faible et il faut insister pour obtenir des données agrégées. développement à poursuivre pour un intérêt véritable. le système ne sais pas faire d'addition juste. il ne respecte pas les instructions d'une demande à l'autre. il modifie les données qu'on lui fournit donc les analyses sont fausses. bref l'outil est finalement une perte de temps car il est pas au point. je veux bien soutenir une startup française mais le service proposé est clairement pas au niveau,1.5.0
Google Play,2025-11-30,5,réponse pertinente en général,1.5.0
Google Play,2025-11-30,5,"Elle est complètement dingue cette application ! je suis bluffé. En plus c'est français, et j'ai donc supprimé l'application chatGPT qui ne répondait pas toujours à mes attentes. Avec le Chat, les réponses sont rapides mais surtout pertinente. Un grand merci !",1.5.0
Google Play,2025-11-30,5,bravo,1.4.0
Google Play,2025-11-30,5,très bien,1.5.0
App Store,2025-11-29,5,Merci Le Chat !!!,1.4.0
App Store,2025-11-29,3,Chat GPT est meilleur. Dommage,1.4.0
App Store,2025-11-29,5,"Lorsque l’on dicte oralement, une question mistral,  AI, répond mieux de façon plus neutre, et la transcription en français est bien souvent bien meilleure",1.4.0
App Store,2025-11-29,5,Switched to Mistral because it’s the leading EU alternative to US. Mistral closed the gaps with ChatGPT in terms of performance and main features. And it seems to be way more privacy-friendly. And above all it’s based in the EU.,1.4.0
Google Play,2025-11-29,3,"Enthousiaste à essayer cette application, mais déçu à l'usage. Effectivement, les réponses ne sont pas toujours correctes même parfois carrément erronées, par exemple : il me donne une date de samedi 30 novembre 2025 alors qu'elle n'existe pas, et c'est la première illustration qui me vient à l'esprit. J'ai dû faire mes propres recherches de mon côté sur l'économie, les véhicules ou encore sur la guerre en Ukraine... le chat m'annonçant des dates ou des spécifications aberrantes.",1.5.0
Google Play,2025-11-29,5,Français et comme l'impression moins machine,1.4.0
Google Play,2025-11-29,5,extraordinaire !!! une aide formidable,1.4.0
Google Play,2025-11-29,5,j'aime bien 👍,1.5.0
Google Play,2025-11-29,5,On ne pourra plus jamais dire qu'autour de nous on n'y a pas un chat...,1.4.0
Google Play,2025-11-29,5,j'ai toujours été tres satisfait des réponses données .,1.4.0
Google Play,2025-11-29,5,j adore ! cocorico pour cette superbe appli qui permet de plug vos data pour travailler en mode agentic,1.1.16
Google Play,2025-11-29,5,tip top de la tech française,1.4.0
Google Play,2025-11-29,4,de bonnes suggestions,1.4.0
Google Play,2025-11-29,1,le chat ne sait pas donner l'heure exacte pour une ville donnée,1.5.0
Google Play,2025-11-28,5,"bon,❤️‍🔥",1.4.0
Google Play,2025-11-28,5,J'adore le chat. J'essaie de le consulter de manière mesurée puisque l'intelligence artificielle consomme un maximum d'énergie. j'aime ses réponses prudentes pour tous ce qui concerne les questions médicales. Pour le reste je me suis livrée à une expérience amusante : j'ai proposé au chat de m'écrire une nouvelle en 3000 signes espace compris sur un sujet que j'ai renseigné. le résultat était absolument bluffant. Soumis à la même demande Chat gpti et Gemini ont produit un résultat médiocre !,1.4.0
Google Play,2025-11-28,5,pour c'est le meilleur robot il ne déçoit jamais juste magnifique,1.1.19
Google Play,2025-11-28,5,J'apprécie vos réponses car vous vous démarquez des autres IA. Merci,1.4.0
Google Play,2025-11-28,5,"la réponse à ma question correspond à mon interrogation. De plus, elle est complète.",1.1.17
Google Play,2025-11-28,5,il est Français,1.4.0
Google Play,2025-11-28,5,Help me a lot learning complex topics.,1.3.0
Google Play,2025-11-27,5,#madeinFrance 💅🏽,1.4.0
App Store,2025-11-27,3,"Après l’avoir essayé, je me rend compte qu’il est pas aussi performant que certaines autres IA, malheureusement, beaucoup d’erreur pour des informations facilement vérifiables, les 3 étoiles viennent uniquement du fait que ça soit français… j’espère que ça s’améliorera avec le temps.",1.4.0
App Store,2025-11-27,5,"Sur des requêtes basiques et professionnelles, le chat s’en sort très bien. Sur la base d’un ressenti personnel, j’ai l’impression qu’il va plus vite droit au but dans ses réponses (pas trop de verbiage et pas de « sur-réponse ». C’est un 5/5 d’encouragement :)",1.4.0
Google Play,2025-11-27,5,réponse précise et bien expliquée. Bravo !,1.4.0
App Store,2025-11-27,5,Tres bonne invention qui répond aux attentes,1.4.0
Google Play,2025-11-27,5,Réponses très probantes,1.4.0
Google Play,2025-11-27,4,"Cette application fournit des réponses aux questions que vous formulez. Il faut cependant ""challenger"" les réponses pour converger vers une réponse plus fiable. C'est un outil incroyable que je recommande vivement. Les européens devraient utiliser cette IA européenne au lieu du chatgpt américain.",1.4.0
Google Play,2025-11-27,4,"Excellentes informations reçues, mais, site peu ludique! Tout mes encouragements.",1.4.0
Google Play,2025-11-27,5,"Analyse réaliste, mais il manque une donnée non officielle, les confis à caractère militaire.",1.3.0
Google Play,2025-11-27,5,"Superbe !, encore plus pratique ;que Chat GPT.",1.4.0
Google Play,2025-11-27,5,"Enfin des réponses! Il y avait des questions que je me posais que ni Qwant ni Google ne solutionnaient... Le Chat, lui, m'a répondu!",1.4.0
Google Play,2025-11-27,5,Cocorico !,1.3.0
Google Play,2025-11-27,5,Happy life :),1.4.0
Google Play,2025-11-26,5,ça correspond à ce que je pensais,1.4.0
Google Play,2025-11-26,5,De loin la meilleure app IA !,1.4.0
Google Play,2025-11-26,5,les fonctionnalités sont bien en avance sur les américains.,
Google Play,2025-11-26,5,Appli au top du top !,1.3.0
Google Play,2025-11-26,5,"Incroyable, personnellement je trouve ça bien mieux que ChatGPT pour tous ce qui est écris. L'intelligence artificielle française n'a rien à envier aux concurrents du monde entier. Je recommande fortement",1.4.0
Google Play,2025-11-26,5,"super, une excellente utilité dans de nombreux domaines en espérant qu'il ne subira de modification",1.4.0
Google Play,2025-11-26,3,"bonne aide, mais encore beaucoup d'erreurs liées à une trop grande créativité par rapport aux consignes demandées",1.4.0
Google Play,2025-11-26,4,réponse structurées et sourcées,1.4.0
Google Play,2025-11-26,5,réponse rapide et juste.,1.4.0
App Store,2025-11-26,4,"…mais présentation (typo, lecture facilitée, taille des caractères) améliorable. Merci à l’équipe !",1.4.0
App Store,2025-11-26,3,"Peut mieux faire. J’ai cette app depuis des mois grâce a mon opérateur mais je m’en sers très peu : pour moi, elle n’est pas encore au niveau des majors du secteur.",1.4.0
Google Play,2025-11-26,5,j'adore merci,1.4.0
Google Play,2025-11-26,5,explication simple et détaillée très comprehensible,1.4.0
Google Play,2025-11-25,5,IA au top et française 🇫🇷🇪🇺 ! Elle est quasiment au niveau de Chat GPT clairement.,1.4.0
App Store,2025-11-25,5,"cette application est pour moi la meilleure, les réponses sont pertinentes, précises et concises. Il lui manque juste un mode totalement conversationnel et un widget sur iOS !",1.3.0
Google Play,2025-11-25,5,meilleure en terme de programmation,
Google Play,2025-11-25,5,réponses claires et très explicites,1.3.0
Google Play,2025-11-25,4,super efficace merci,1.3.0
Google Play,2025-11-25,5,fiable,1.4.0
Google Play,2025-11-25,3,c'est trop tôt,1.4.0
Google Play,2025-11-25,5,très précis et clair dans les réponses,1.3.0
App Store,2025-11-25,5,I utilize three different AI. Mistral is just the best for text redaction and quick answer. Your perfect companion for daily tasks!,1.3.0
App Store,2025-11-25,1,"Il ne comprend rien, on demande de modifier des lignes de codes et il préfère créer des images. On demande de faire un mapping entre des données d’un document excel de seulement 3 colonnes et 150 lignes en liste JS normé, et il dit qu’il ne peut pas car la liste est trop longue… et pourtant j’ai l’abonnement payant… bref. c’est une honte de la technologie française. Nous sommes très en retard et je suis certains qu’aucun des développeurs de la société Mistral ne pousse Mistral dans ses retranchements. l’application n’est pas testé, leur site web est pleins d’erreurs, le site web en version français affiche une multitude de texte en anglais… bref. rien ne vas chez eux. alors oui, par contre il est très utile pout générer des images drôles, lui demander de faire une recherche approfondie sur internet… mais c’est ma base pour un modele d’IA génératif. c’est dommage mais je ne peux m’empêcher de retourner chez OpenAI, beaucoup plus rigoureux, intelligent, innovant et surtout sérieux avec une vrai équipe qui teste les fonctionnalités de leur application et qui suivent les innovations du marché sans foncer tête baisser.",1.3.0
Google Play,2025-11-24,5,Aucun souci,1.3.0
Google Play,2025-11-24,5,"super simple, très compréhensible et source en général les demandes 👍",1.3.0
Google Play,2025-11-24,5,"Effice simple et rapide. Ne fait pas parti des GAFA, ni Musk... N'hésitez pas à tester",1.3.0
Google Play,2025-11-24,5,Le top et français en plus,1.3.0
Google Play,2025-11-24,5,simplement parfait,1.3.0
Google Play,2025-11-24,5,"Super ia, très réactive et française!!!",1.3.0
Google Play,2025-11-24,5,"super. je m'en sers pour résumer des textes légaux, parfois pour coder des fonctions en python ou autre. Les réponses sont pertinentes. Elles peuvent parfois contenir des erreurs, mais cela facilite énormément mon travail. 👌👌😘😘",1.3.0
Google Play,2025-11-24,5,"cool de pouvoir utiliser une IAG, au moins aussi Quali' que les plus connue mais, en plus, provenant d'une entreprise française ! MERCI FREE MOBILE pour l'abonnement d'un an gratuit et merci MISTRAL d'avoir rendu ça possible ! J'en profiterai jusqu'au dernier jour !",1.3.0
Google Play,2025-11-24,5,Au top.,1.3.0
Google Play,2025-11-24,5,cool,1.3.0
App Store,2025-11-23,5,Très bon retour à mes questions sur les repas à organiser pour stabiliser ma glycémie ! 👍,1.3.0
App Store,2025-11-23,5,"Facile à prendre en main, disponibilité de rag gratuits, agents, ocr, et pas cher par rapport à un chatgpt. Je contrôle mes données.",1.3.0
App Store,2025-11-23,5,Je suis contente et je l’utilise depuis cette année et il m’a toujours satisfaite je viens de le mettre à jour et maintenant c’est plus sécurisé !,1.3.0
Google Play,2025-11-23,5,"Parfait pour moi, tant en pro qu'en perso et le mieux, c'est Français !",1.3.0
Google Play,2025-11-23,5,👍,1.1.15
Google Play,2025-11-23,1,On est très loin des américains ont va pas se mentir. Le seul motif pour lequel j'utilise le Chat c'est pour la sécurité de mes données. L'analyse documents est catastrophique par exemple. C'est frustrant d'utiliser Le chat si c'est pour autre chose que demander comment on fait des crêpes. Les recherches web pour l'achat d'un produit idem catastrophique. En fait le chat c'est surtout une médiocrité artificielle. Bref les Américains non pas de concurrence sérieuse en provenance de la France...,1.3.0
Google Play,2025-11-23,5,rapide et pertinent= efficace. En plus made in France!,1.3.0
Google Play,2025-11-23,5,Je suis fan !!!,1.3.0
Google Play,2025-11-23,5,Très bonne application.,
Google Play,2025-11-23,5,"illustration demandée, résultat bluffant !",1.1.17
Google Play,2025-11-23,4,encore des progrès à faire en termes de rapidité,1.3.0
Google Play,2025-11-22,5,Je suis tres satisfaite des réponses de cette IA de surcroît française.,1.2.0
Google Play,2025-11-22,5,"Je trouve les recherches assez précises, et de citer les sources dans les paragraphes est très bien. La synthèse dans des tableaux répond exactement à la demande, c'est parfait.",
Google Play,2025-11-22,5,très intéressant en espérant plus 😄,1.3.0
App Store,2025-11-22,5,"Très bonne compréhension des questions, retour rapide et semble t-il pertinent",1.3.0
Google Play,2025-11-22,5,bbstar incroyable,1.3.0
Google Play,2025-11-22,5,très pertinent,1.3.0
